;execution_time_recording_timestamp;execution_time
0;1666608845.518521;2.0000000000000003e-06
1;1666608845.522364;2.0000000000000003e-06
2;1666608845.526897;1.0000000000000002e-06
3;1666608845.5310395;1.0000000000000002e-06
4;1666608845.5351737;2.0000000000000003e-06
5;1666608845.5391674;1.0000000000000002e-06
6;1666608845.5434012;2.0000000000000003e-06
7;1666608845.5480921;1.0000000000000002e-06
8;1666608845.5524669;2.0000000000000003e-06
9;1666608845.5569072;1.0000000000000002e-06
10;1666608845.5611472;1.0000000000000002e-06
11;1666608845.5655305;2.0000000000000003e-06
12;1666608845.5700192;1.0000000000000002e-06
13;1666608845.5742083;2.0000000000000003e-06
14;1666608845.5784092;1.0000000000000002e-06
15;1666608845.5827343;2.0000000000000003e-06
16;1666608845.5868962;1.0000000000000002e-06
17;1666608845.5911694;1.0000000000000002e-06
18;1666608845.5952785;2.0000000000000003e-06
19;1666608845.7597039;0.11496500000000001
20;1666608845.763839;2.0000000000000003e-06
21;1666608845.7682712;1.0000000000000002e-06
22;1666608845.7722185;2.0000000000000003e-06
23;1666608845.7763977;1.0000000000000002e-06
24;1666608845.7806582;1.0000000000000002e-06
25;1666608845.8347354;0.036275
26;1666608845.8386493;2.0000000000000003e-06
27;1666608845.8428433;1.0000000000000002e-06
28;1666608845.8469157;1.0000000000000002e-06
29;1666608845.8507993;2.0000000000000003e-06
30;1666608845.8547926;1.0000000000000002e-06
31;1666608845.8595543;2.0000000000000003e-06
32;1666608845.8640885;1.0000000000000002e-06
33;1666608845.8685591;2.0000000000000003e-06
34;1666608845.8731058;1.0000000000000002e-06
35;1666608845.8777258;1.0000000000000002e-06
36;1666608845.8819866;2.0000000000000003e-06
37;1666608845.8865378;1.0000000000000002e-06
38;1666608845.8909018;2.0000000000000003e-06
39;1666608845.8953698;1.0000000000000002e-06
40;1666608845.8998842;2.0000000000000003e-06
41;1666608845.904422;1.0000000000000002e-06
42;1666608845.9091184;1.0000000000000002e-06
43;1666608845.9131763;2.0000000000000003e-06
44;1666608845.9174137;1.0000000000000002e-06
45;1666608845.9220395;2.0000000000000003e-06
46;1666608845.9263916;1.0000000000000002e-06
47;1666608845.930589;1.0000000000000002e-06
48;1666608845.935418;2.0000000000000003e-06
49;1666608845.9396672;1.0000000000000002e-06
50;1666608845.944225;2.0000000000000003e-06
51;1666608845.9484086;1.0000000000000002e-06
52;1666608846.189429;0.16337200000000002
53;1666608846.202528;0.006047
54;1666608846.2071085;1.0000000000000002e-06
55;1666608846.2111661;2.0000000000000003e-06
56;1666608846.2156572;1.0000000000000002e-06
57;1666608846.2543433;0.024178
58;1666608846.258719;1.0000000000000002e-06
59;1666608846.2801197;0.012084000000000001
60;1666608846.2930918;0.0060420000000000005
61;1666608846.298095;1.0000000000000002e-06
62;1666608846.302058;2.0000000000000003e-06
63;1666608846.3064067;1.0000000000000002e-06
64;1666608846.3107903;1.0000000000000002e-06
65;1666608846.3152497;2.0000000000000003e-06
66;1666608846.31943;1.0000000000000002e-06
67;1666608846.3236194;2.0000000000000003e-06
68;1666608846.3281617;1.0000000000000002e-06
69;1666608846.3322875;2.0000000000000003e-06
70;1666608846.3364692;1.0000000000000002e-06
71;1666608846.3406708;2.0000000000000003e-06
72;1666608846.3450263;1.0000000000000002e-06
73;1666608846.3493483;1.0000000000000002e-06
74;1666608846.3536668;2.0000000000000003e-06
75;1666608846.3582828;1.0000000000000002e-06
76;1666608846.3627791;2.0000000000000003e-06
77;1666608846.3669648;1.0000000000000002e-06
78;1666608846.3710263;2.0000000000000003e-06
79;1666608846.3753562;1.0000000000000002e-06
80;1666608846.3795457;2.0000000000000003e-06
81;1666608846.3838735;1.0000000000000002e-06
82;1666608846.3883464;1.0000000000000002e-06
83;1666608846.3925352;2.0000000000000003e-06
84;1666608846.3970344;1.0000000000000002e-06
85;1666608846.4011605;2.0000000000000003e-06
86;1666608846.4050364;1.0000000000000002e-06
87;1666608846.4091847;2.0000000000000003e-06
88;1666608846.4137924;1.0000000000000002e-06
89;1666608846.418106;2.0000000000000003e-06
90;1666608846.4223003;1.0000000000000002e-06
91;1666608846.4264734;1.0000000000000002e-06
92;1666608846.4306178;2.0000000000000003e-06
93;1666608846.4347281;1.0000000000000002e-06
94;1666608846.4388454;2.0000000000000003e-06
